num_patients,time_of_day,day_of_week,wait_time
48,0,1,84.68239124957303
38,18,6,45.058709512117694
24,1,6,112.71453746340633
17,20,4,9.506427567699319
30,11,3,53.063793647291554
48,5,7,116.27176342482846
28,22,7,68.01676657353005
32,3,4,53.69915836543363
20,22,2,70.37983263124521
20,10,2,71.23132615467973
33,23,7,89.13949185945863
45,16,7,19.684318883583543
49,5,6,33.751891659852035
33,23,3,71.76256141954963
12,4,1,104.71840982911803
31,19,2,69.61466959653396
11,1,7,32.43863887588912
33,5,6,83.18214968852827
39,21,5,90.08950745144807
47,10,6,32.39715752645763
11,15,2,48.43882191027391
30,15,2,66.44765945601479
42,0,6,62.104536928553934
21,8,1,49.8060799152084
31,5,4,39.22804506857075
34,15,2,16.498262023614288
36,2,6,11.150809125947424
37,19,7,115.2322721415678
25,3,6,102.42146157099282
24,18,3,45.81409690321287
12,2,4,115.03210178954248
46,18,5,82.82853900879488
16,19,1,60.48990920890388
30,6,5,61.69795064375757
18,19,4,14.577707287454858
48,8,4,15.545976934725324
27,0,4,74.28070647862869
13,7,5,68.6758510197671
34,6,7,29.46370792778633
23,17,4,113.81237243139438
18,7,6,94.8490458041883
35,0,5,18.04842923200652
11,10,4,112.05684715403865
29,17,6,117.03854398145717
37,22,7,119.53209283348785
16,9,3,11.425182787895256
17,2,7,89.75908903096602
44,6,4,67.78031356897372
23,15,5,86.17062064604987
26,15,2,116.39497355702551
45,19,4,84.1234511701295
49,16,2,101.25084553729799
13,1,6,104.68990111074676
11,0,3,101.42528783285829
15,15,1,54.00051963039823
13,11,7,30.59628802066851
38,4,3,50.61493422473897
27,4,4,107.56814450932931
35,22,2,21.85955449458293
43,8,7,64.03250939962518
19,8,2,31.8212283288207
45,2,5,71.85012298107996
23,18,2,104.26093002873544
40,15,5,106.24139639341793
24,15,6,32.21879727343905
17,2,7,109.38477623008282
23,19,7,73.0672049644477
32,23,1,45.27509837053606
49,21,4,86.44083749206798
30,23,5,60.39170361587326
25,0,1,48.46857286405926
27,23,2,86.08470189411588
33,19,2,33.60327775948311
35,10,1,42.97904083719633
34,16,7,54.961962116151206
38,7,2,34.173449995410955
24,3,6,51.59823997986297
10,5,6,70.71939789857622
34,7,1,90.21199400472686
16,19,5,93.22740810748574
18,2,5,99.62089046581971
33,15,1,90.58434054847926
10,2,5,83.31953411614454
17,17,7,32.31324419863404
33,13,7,51.025632680282854
20,17,5,59.93721245122618
26,1,6,14.532501994735735
17,21,5,65.76256394917905
44,2,7,55.17862063475394
44,15,3,97.24256363807442
42,8,4,117.45857690674114
14,3,2,68.94057944389722
48,0,3,42.10893465192212
37,3,5,9.991090079289869
16,0,6,111.33398297571354
18,13,1,110.69830725704584
17,20,5,34.09386931876273
21,15,6,84.97227915726447
43,19,4,13.674972915323465
42,23,5,24.114774669564085
32,7,7,29.93304725744649
33,6,1,38.866803886534434
46,2,6,119.52060812837763
44,16,6,85.1463814243387
49,0,6,49.18321060861029
31,15,4,89.76658117194721
36,11,5,110.25424929194723
44,18,4,115.25077685190232
10,21,2,11.65434824213635
44,22,2,50.37000683993493
46,21,5,17.276947582626704
23,13,7,43.60090745165077
12,5,4,24.513188947990034
10,5,1,79.38756159190324
14,12,6,49.6508641588353
35,18,6,31.380395756069213
23,21,5,35.582861370887485
48,7,7,46.43968594860585
36,1,2,34.89423422824021
18,20,2,57.12269738531557
24,0,6,8.716334377609805
24,14,5,37.172803324428756
35,0,4,52.28877290030142
22,4,2,74.31991643267934
41,15,4,36.160128889239935
48,18,7,20.316289400731215
41,3,2,13.763043653903763
13,2,2,113.1611601205691
39,16,3,52.913491639925105
46,16,2,71.83370143579502
32,11,1,110.70530346108936
48,13,5,14.516068304060205
24,20,5,105.81607088146616
38,5,4,68.43260534256805
45,2,7,23.95594003075511
22,8,2,52.29433840731744
41,4,1,94.42426262955094
16,23,4,60.24255941463078
31,16,3,118.307895826533
37,13,4,48.324981542863185
11,20,4,91.2015044972483
15,2,2,50.1937866325688
37,0,3,100.35388538124916
37,19,4,70.44436895406098
29,20,1,12.303860402850155
39,22,1,9.234514778139008
20,0,5,20.39299366207282
37,2,3,6.572275955104688
34,17,3,13.666291940533167
48,9,5,84.54715567442489
42,21,4,66.44982162838826
10,2,3,91.23973618904677
36,7,1,110.01406150962893
22,13,1,72.29219621742928
12,23,2,88.50389706826253
48,17,3,92.06433823488243
15,14,4,48.45281316671544
17,21,5,32.72475571790766
36,22,5,28.580212778250363
18,1,4,33.91588054385682
46,9,7,36.59415665797951
42,1,6,28.831179635926492
33,16,2,105.9953767601071
24,7,5,92.0549001998063
41,0,3,10.393093795990291
41,8,2,35.897335432910346
33,10,3,7.551245333484688
21,21,7,62.28899646427769
48,15,1,59.76423013073663
11,6,2,100.60772135718764
12,9,5,40.39438257367068
46,22,2,98.88435954950216
26,2,2,116.31698302557965
11,17,2,15.166945687049356
11,23,6,96.05905153900778
37,12,2,72.84492817082815
32,6,3,60.20528620712464
46,3,1,53.361614546483636
41,12,7,95.2368503535956
42,19,4,78.52655605203788
